NAME,Population,FIPS
"Jasper County, Illinois",9598,17079
"Jefferson County, Illinois",38169,17081
"Jersey County, Illinois",22069,17083
"Jo Daviess County, Illinois",21834,17085
"Johnson County, Illinois",12602,17087
"Kane County, Illinois",530839,17089
"Kankakee County, Illinois",111061,17091
"Kendall County, Illinois",124626,17093
"Knox County, Illinois",50999,17095
"Lake County, Illinois",703619,17097
"LaSalle County, Illinois",110401,17099
"Lawrence County, Illinois",16189,17101
"Lee County, Illinois",34527,17103
"Livingston County, Illinois",36324,17105
"Logan County, Illinois",29207,17107
"McDonough County, Illinois",30875,17109
"McHenry County, Illinois",307789,17111
"McLean County, Illinois",173219,17113
"Macon County, Illinois",106512,17115
"Macoupin County, Illinois",45719,17117
"Madison County, Illinois",265670,17119
"Marion County, Illinois",38084,17121
"Marshall County, Illinois",11794,17123
"Mason County, Illinois",13778,17125
"Massac County, Illinois",14430,17127
"Menard County, Illinois",12367,17129
"Mercer County, Illinois",15693,17131
"Monroe County, Illinois",33936,17133
"Montgomery County, Illinois",29009,17135
"Morgan County, Illinois",34426,17137
"Moultrie County, Illinois",14703,17139
"Ogle County, Illinois",51328,17141
"Peoria County, Illinois",184463,17143
"Perry County, Illinois",21384,17145
"Piatt County, Illinois",16427,17147
"Pike County, Illinois",15754,17149
"Pope County, Illinois",4249,17151
"Pulaski County, Illinois",5611,17153
"Putnam County, Illinois",5746,17155
"Randolph County, Illinois",32546,17157
"Richland County, Illinois",15881,17159
"Rock Island County, Illinois",145275,17161
"St. Clair County, Illinois",263463,17163
"Saline County, Illinois",24231,17165
"Sangamon County, Illinois",197661,17167
"Schuyler County, Illinois",7064,17169
"Scott County, Illinois",5047,17171
"Shelby County, Illinois",21832,17173
"Stark County, Illinois",5500,17175
"Stephenson County, Illinois",45433,17177
"Tazewell County, Illinois",133852,17179
"Union County, Illinois",17127,17181
"Vermilion County, Illinois",78407,17183
"Wabash County, Illinois",11573,17185
"Warren County, Illinois",17338,17187
"Washington County, Illinois",14155,17189
"Wayne County, Illinois",16487,17191
"White County, Illinois",14025,17193
"Whiteside County, Illinois",56396,17195
"Will County, Illinois",688697,17197
"Williamson County, Illinois",67299,17199
"Winnebago County, Illinois",286174,17201
"Woodford County, Illinois",38817,17203
"Adams County, Indiana",35195,18001
"Allen County, Indiana",370016,18003
"Bartholomew County, Indiana",81893,18005
"Benton County, Indiana",8667,18007
"Blackford County, Indiana",12129,18009
"Boone County, Indiana",64321,18011
"Brown County, Indiana",15034,18013
"Carroll County, Indiana",19994,18015
"Cass County, Indiana",38084,18017
"Clark County, Indiana",115702,18019
"Clay County, Indiana",26268,18021
"Clinton County, Indiana",32301,18023
"Crawford County, Indiana",10581,18025
"Daviess County, Indiana",32937,18027
"Dearborn County, Indiana",49501,18029
"Decatur County, Indiana",26552,18031
"DeKalb County, Indiana",42704,18033
"Delaware County, Indiana",115616,18035
"Dubois County, Indiana",42418,18037
"Elkhart County, Indiana",203604,18039
"Fayette County, Indiana",23259,18041
"Floyd County, Indiana",76809,18043
"Fountain County, Indiana",16486,18045
"Franklin County, Indiana",22842,18047
"Fulton County, Indiana",20212,18049
"Gibson County, Indiana",33596,18051
"Grant County, Indiana",66944,18053
"Greene County, Indiana",32295,18055
"Hamilton County, Indiana",316095,18057
"Hancock County, Indiana",73830,18059
"Harrison County, Indiana",39712,18061
"Hendricks County, Indiana",160940,18063
"Henry County, Indiana",48483,18065
"Howard County, Indiana",82387,18067
"Huntington County, Indiana",36378,18069
"Jackson County, Indiana",43938,18071
"Jasper County, Indiana",33449,18073
"Jay County, Indiana",20993,18075
"Jefferson County, Indiana",32237,18077
"Jennings County, Indiana",27727,18079
"Johnson County, Indiana",151564,18081
"Knox County, Indiana",37409,18083
"Kosciusko County, Indiana",78806,18085
"LaGrange County, Indiana",38942,18087
"Lake County, Indiana",486849,18089
"LaPorte County, Indiana",110552,18091
"Lawrence County, Indiana",45619,18093
"Madison County, Indiana",129505,18095
"Marion County, Indiana",944523,18097
"Marshall County, Indiana",46595,18099
"Martin County, Indiana",10210,18101
"Miami County, Indiana",35901,18103
"Monroe County, Indiana",145403,18105
"Montgomery County, Indiana",38276,18107
"Morgan County, Indiana",69727,18109
"Newton County, Indiana",14018,18111
"Noble County, Indiana",47451,18113
"Ohio County, Indiana",5887,18115
"Orange County, Indiana",19547,18117
"Owen County, Indiana",20878,18119
"Parke County, Indiana",16996,18121
"Perry County, Indiana",19141,18123
"Pike County, Indiana",12411,18125
"Porter County, Indiana",168041,18127
"Posey County, Indiana",25589,18129
"Pulaski County, Indiana",12660,18131
"Putnam County, Indiana",37559,18133
"Randolph County, Indiana",25076,18135
"Ripley County, Indiana",28425,18137
"Rush County, Indiana",16704,18139
"St. Joseph County, Indiana",269240,18141
"Scott County, Indiana",23743,18143
"Shelby County, Indiana",44399,18145
"Spencer County, Indiana",20526,18147
"Starke County, Indiana",22941,18149
"Steuben County, Indiana",34474,18151
"Sullivan County, Indiana",20792,18153
"Switzerland County, Indiana",10628,18155
"Tippecanoe County, Indiana",189294,18157
"Tipton County, Indiana",15218,18159
"Union County, Indiana",7153,18161
"Vanderburgh County, Indiana",181313,18163
"Vermillion County, Indiana",15560,18165
"Vigo County, Indiana",107693,18167
"Wabash County, Indiana",31631,18169
"Warren County, Indiana",8247,18171
"Warrick County, Indiana",61928,18173
"Washington County, Indiana",27827,18175
"Wayne County, Indiana",66613,18177
"Wells County, Indiana",27947,18179
"White County, Indiana",24217,18181
"Whitley County, Indiana",33649,18183
"Adair County, Iowa",7124,19001
"Adams County, Iowa",3726,19003
"Allamakee County, Iowa",13880,19005
